award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation,non_federal_funding_amount,total_funding_amount,face_value_of_loan,original_subsidy_cost,total_subsidy_cost,action_date,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_duns,recipient_name,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_address_line_3,recipient_city_code,recipient_city_name,recipient_county_code,recipient_county_name,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,recipient_congressional_district,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,primary_place_of_performance_county_code,primary_place_of_performance_county_name,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,primary_place_of_performance_congressional_district,primary_place_of_performance_foreign_location,cfda_number,cfda_title,assistance_type_code,award_description,business_funds_indicator_code,business_types_code,action_type_code,record_type_code,fiscal_year_and_quarter_correction,last_modified_date
NNX08AH06G,3,,SAI EXEMPT,52992.00,0.00,52992.0,0.00,,0.00,2011-02-08,2011-02-08,2012-01-27,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,515 N WHISMAN RD,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,14,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,14,,43.001,SCIENCE,04,THIS LEAD PROPOSAL FOR THE STRATOSPHERIC TERAHERTZ OBSERVATORY (STO) DESCRIBES A LONG DURATION BALLOON (LDB) EXPERIMENT DESIGNED TO ADDRESS A KEY PRO,NON,12,B,2,,2015-05-05 00:00:00
NNX08AH48G,0,,SAI EXEMPT,54269.00,0.00,54269.0,0.00,,0.00,2008-02-26,2008-02-26,2011-02-25,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,515 N WHISMAN RD,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,14,,,,USA,UNITED STATES,0649670,GREENBELT,033,PRINCE GEORGE'S,CA,207710002,05,,43.AAA,RESEARCH GRANTS FOR THE SPACE PROGRAM,04,RECENT CLIMATE SHIRTS  CIRCULATION PATTERNS  AND CLIMATE-DRIVEN EROSION RECORDED IN THE MORPHOLOGY OF SOUTHERN HEMISPHERE SAND DUNES OF MARSOBJECTIV,NON,12,A,2,,2010-09-20 00:00:00
NNX10AT27G,1,,SAI EXEMPT,42056.00,0.00,42056.0,0.00,,0.00,2011-05-26,2011-05-26,2014-09-09,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,515 N WHISMAN RD,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,14,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,14,,43.001,SCIENCE,04,PROPOSAL TITLE: MARS SIMULATION MEASUREMENTS (MSM): SURVIVABILITY OF ORGANIC MOLECULES ADSORBED ON OR OCCLUDED IN MINERALS UNDER IONIZING RADIATION.,NON,12,B,2,,2016-04-05 00:00:00
1240116,000,NONA201204261240116000,SAI EXEMPT,96379.00,0.00,96379.0,0.00,,0.00,2012-04-26,2012-03-15,2013-08-31,049,NATIONAL SCIENCE FOUNDATION (NSF),4900,NATIONAL SCIENCE FOUNDATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,189 BERNARDO AVE.,SUITE 100,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,5203,14,,,,USA,UNITED STATES,0670770,SEBASTOPOL,097,SONOMA,CALIFORNIA,954729786,06,,47.049,MATHEMATICAL AND PHYSICAL SCIENCES,04,COLLABORATIVE PROJECT:  METHANE IMAGING SEARCH FOR PLANETARY MASS OBJECTS IN THE NEAREST STAR-FORMING REGIONS,NON,12,A,2,,2012-05-08 00:00:00
NNX10AH02A,12,,SAI EXEMPT,28414.00,0.00,28414.0,0.00,,0.00,2012-06-25,2012-06-25,2013-03-22,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,515 N WHISMAN RD,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,14,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,14,,43.001,SCIENCE,05,THIS IS A TYPE II MMAMA PROPOSAL TO BUILD UPON AN EXISTING RESEARCH PROGRAM AT PAVILION LAKE FOCUSING ON UNDERWATER SCIENCE AND SAMPLING. THE PROJECT,NON,12,B,2,,2012-07-20 00:00:00
NNX09AE80A,22,,SAI EXEMPT,232069.00,0.00,232069.0,0.00,,0.00,2012-09-17,2012-09-17,2013-01-06,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,515 N WHISMAN RD,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,14,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,14,,43.001,SCIENCE,05,"BUILDING ON THE RESULTS OF OUR PREVIOUS WORK, OUR INVOLVEMENT IN PLANETARY MISSIONS, AND DATA FROM OUR RESEARCH IN TERRESTRIAL ANALOGS, OUR NEW PROPO",NON,12,B,2,,2012-10-19 00:00:00
NNX11AK43G,1,,SAI EXEMPT,107219.00,0.00,107219.0,0.00,,0.00,2012-06-01,2012-06-01,2014-06-20,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,189 BERNARDO AVE # 100,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,14,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,14,,43.001,SCIENCE,04,WE WILL ANALYZE CASSINI DATA TO PRODUCE DETAILED HAZE EXTINCTION PROFILES FOR BOTH NORTHERN AND SOUTHERN LATITUDES ON SATURN DOWN TO PRESSURE LEVELS,NON,12,B,2,,2013-08-14 00:00:00
NNX11AI14A,6,,SAI EXEMPT,0.00,0.00,0.0,0.00,,0.00,2012-01-25,2012-01-25,2013-11-12,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,189 BERNARDO AVE # 100,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,14,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,14,,43.001,SCIENCE,05,"IN DECEMBER 2001, KEPLER BECAME THE 10TH MISSION SELECTED FOR FLIGHT BY NASA'S DISCOVERY PROGRAM, AND THE FIRST SUCH ORIENTED TO ACHIEVE GOALS UNDER",NON,12,B,2,,2015-08-05 00:00:00
NNX11AG11G,2,,SAI EXEMPT,24691.00,0.00,24691.0,0.00,,0.00,2011-10-27,2011-10-27,2014-03-31,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,189 BERNARDO AVE # 100,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,14,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,14,,43.001,SCIENCE,04,OBSERVATIONS BY THE SPITZER SPACE TELESCOPE AND THE INFRARED SPACE OBSERVATORY SHOW THAT THE EMISSION BANDS FORMERLY REFERRED TO AS THE UNIDENTIFIED,NON,12,B,2,,2015-08-05 00:00:00
NNX10AF38A,7,,SAI EXEMPT,30000.00,0.00,30000.0,0.00,,0.00,2011-11-23,2011-11-23,2013-02-04,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,515 N WHISMAN RD,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,14,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,14,,43.009,CROSS AGENCY SUPPORT,05,UNDERSTANDING THE DISTRIBUTION OF COMPLEX ORGANIC MOLECULES ASSOCIATED WITH LIVING THINGS IS ESSENTIAL TO ANSWERING THE QUESTIONS EXPRESSED IN THE AS,NON,12,B,2,,2015-06-05 00:00:00
